Ticker,Date,Sentiment_Weighted,Sentiment_MA,Tweets,Tweets_MA,Adj Close,Percent_Change,Percent_Change_Bin
aapl,2016-04-04,0.42771084337349397,0.451869120316884,830,561.0,25.361148834228516,-1.1789076651936514,0
aapl,2016-04-05,0.8462104488594555,0.5833162298310745,2718,1280.0,25.062164306640625,1.047254020459376,1
aapl,2016-04-06,0.5606531881804043,0.6115248268044513,1286,1611.3333333333333,25.324628829956055,-2.1809542667204584,0
aapl,2016-04-07,0.5506829618979152,0.6525155329792584,1391,1798.3333333333333,24.772310256958008,0.11054198836217832,1
aapl,2016-04-08,0.5602977667493797,0.557211305609233,2015,1564.0,24.799694061279297,0.3312982390186514,1
aapl,2016-04-11,0.5062857142857143,0.4996999447539982,875,1228.0,24.881855010986328,1.3025269412072937,1
aapl,2016-04-12,0.4657328664332166,0.48503303137927806,1999,1243.6666666666667,25.205947875976562,1.4487737431571057,1
aapl,2016-04-13,0.4521978021978022,0.4747387943055777,1820,1564.6666666666667,25.571125030517578,0.053525739570425834,1
aapl,2016-04-14,0.42320441988950275,0.4470450295068405,1810,1876.3333333333333,25.58481216430664,-2.0071329473132504,0
aapl,2016-04-15,0.5149625935162094,0.4634549385345048,1604,1744.6666666666667,25.071290969848633,-2.157482891994167,0
aapl,2016-04-18,0.9350104821802935,0.60832009038206,1908,1850.0,24.53038215637207,-0.5303248545892814,0
aapl,2016-04-19,0.4338543652306519,0.6027632995818826,2623,1835.0,24.400291442871094,0.2057488677206898,1
aapl,2016-04-20,0.5780212483399735,0.648962031916973,3012,2514.3333333333335,24.45049476623535,-1.0827748373306356,0
aapl,2016-04-21,0.49521640091116176,0.5023640048272624,2195,2610.0,24.18575096130371,-0.27367651188666686,0
aapl,2016-04-22,0.43972246313963576,0.5043200374635903,2306,2504.3333333333335,24.11956024169922,-0.56773915598759,0
aapl,2016-04-25,0.44119968429360695,0.4262322247880526,1267,1432.6666666666667,23.982624053955078,-0.6947063426002709,0
aapl,2016-04-26,0.45048543689320386,0.4295767886258283,3090,1813.3333333333333,23.816015243530273,-6.257774927399307,0
aapl,2016-04-27,0.5470069431413023,0.4795640214427044,10658,5005.0,22.32566261291504,-3.0566308961487376,0
aapl,2016-04-28,0.5848137244949752,0.5274353681764937,9851,7866.333333333333,21.64324951171875,-1.149436834995754,0
aapl,2016-04-29,0.5023942537909019,0.5447383071423931,5012,8507.0,21.394474029541016,-0.10666080882129059,0
aapl,2016-05-02,0.4867549668874172,0.6586743159183085,1208,2655.0,21.371654510498047,1.6445569983566166,1
aapl,2016-05-03,0.4202939513849633,0.648782109405272,3538,2701.6666666666665,21.72312355041504,-1.0401106384107073,0
aapl,2016-05-04,0.418757327080891,0.4419354151177572,4265,3003.6666666666665,21.49717903137207,-0.40587494331547624,0
aapl,2016-05-05,0.5203721527109401,0.4531411437255981,3117,3640.0,21.409927368164062,-0.5577209663314875,0
aapl,2016-05-06,0.5222905457340508,0.48714000850862726,2602,3328.0,21.29051971435547,0.07551267813878937,1
aapl,2016-05-09,0.9436649214659686,0.6610591585302751,4775,3326.6666666666665,21.306596755981445,0.6789312092704503,1
aapl,2016-05-10,0.5817549284885968,0.6474199222648274,2587,2774.6666666666665,21.45125389099121,-0.9740513495814507,0
aapl,2016-05-11,0.421455938697318,0.6489585962172945,2610,3324.0,21.242307662963867,-2.3457390608513706,0
